microsoft,irrelevant,1.26704E+17,Wed Oct 19 17:00:18 +0000 2011,: #Microsoft renovarÃ¡ el Administrador de Tareas en #Windows8 http://t.co/6UhMnWdG vÃ_a @tuexperto
microsoft,irrelevant,1.26631E+17,Wed Oct 19 12:08:06 +0000 2011,"! RT @AlbertLorente: En EspaÃ±a, se pasa mÃ¡s tiempo en sites de #Microsoft que en #Facebook y en sites de #Google... http://t.co/cjNWU8rv"
microsoft,neutral,1.26768E+17,Wed Oct 19 21:12:59 +0000 2011,.. downloading CTP3 of #Microsoft #SQL2012 to play around ...http://www.microsoft.com/sqlserver/en/us/default.aspx
microsoft,neutral,1.26591E+17,Wed Oct 19 09:30:11 +0000 2011,... and we were just told what a #microsoft minute is: it is 95 sconds + 1 second which is from 1 to 10 minutes. :)
microsoft,neutral,1.26735E+17,Wed Oct 19 19:02:36 +0000 2011,.@allie_hooker #Microsoft has the edge in its cloud integration across its different platforms. Tablets still definitely lag behind though.
microsoft,neutral,1.26796E+17,Wed Oct 19 23:03:24 +0000 2011,"""@MuraineR: #Microsoft launching the OmniTouch, how funny I though that was an @ALUEnterprise solution! #copyright http://t.co/k1kDqz04"
microsoft,irrelevant,1.26726E+17,Wed Oct 19 18:28:37 +0000 2011,"""@TwitGrap: #BREKEND: #Microsoft en #Linux nu beiden in de aanbieding! http://t.co/7sRtk4gy"""
microsoft,positive,1.26755E+17,Wed Oct 19 20:20:02 +0000 2011,"""#Microsoft details Search improvements in Windows 8 Start Screen"" http://t.co/Agv49znJ"
microsoft,positive,1.26736E+17,Wed Oct 19 19:08:14 +0000 2011,"""#Microsoft details Windows 8 search improvements"" - via @SlashGear http://t.co/JCawWRzQ"
microsoft,irrelevant,1.26785E+17,Wed Oct 19 22:22:44 +0000 2011,"""Il colpo di genio Ã¨ stato iTunes non l'iPod in sÃ©"". Quello che #Google e #Samsung non possono capire, tanto meno #Microsoft #sapevatelo"
microsoft,neutral,1.26679E+17,Wed Oct 19 15:19:46 +0000 2011,"""Metro (design language)"" http://t.co/r7RdW1PH Microsoft took inspiration from King County Metro! #microsoft #metro #windows8 #bus"
microsoft,negative,1.26704E+17,Wed Oct 19 16:59:30 +0000 2011,"""Yeh behatreen samay hay parivar honeka"" says the #microsoft #ad in hindi. Preaching family values to indians? Get a local ad agency guys"
